mlbam_pitcher_id,player_name,tempo_be_sec,tempo_ro_sec
543169,"Flynn, Brian",16.082,16.082
673540,"Senga, Kodai",16.086,16.086
650556,"Abreu, Bryan",16.098,16.098
669622,"Bender, Anthony",16.103,16.103
474699,"Worley, Vance",16.108,16.108
445163,"Janssen, Casey",16.112,16.112
451596,"Gallardo, Yovani",16.116,16.116
676265,"Abbott, Cory",16.119,16.119
656756,"Montgomery, Jordan",16.119,16.119
518875,"Kelley, Shawn",16.123,16.123
666120,"Anderson, Ian",16.131,16.131
445213,"Kintzler, Brandon",16.132,16.132
606162,"Ramírez, Yefry",16.149,16.149
669923,"Kirby, George",16.158,16.158
666214,"Wentz, Joey",16.16,16.16
543456,"Lobstein, Kyle",16.16,16.16
